What was your last semester's grade point average?,Are you currently working part-time?,How many hours do you work each week?,What is your main reason for part-time work? ,How is your working environment?,Is your employer supportive of your academic schedules?,Do you feel exhausted both physically or mentally after work?,Can you adjust your schedules during exam time?,How many hours a week do you study outside of class?,When is the best time for you to study?,Do you think your work has an impact on your grades?,How do you balance your time between work and study?,Do you struggle to balance your job and studies?
71-80%,Yes,11-20,Financial need,Neutral,Sometimes,Sometimes,Yes,5-10 hours,Night,Yes,Studies first,Occasionally
50-60%,Yes,21-30,Financial Independence,Streeful,Sometimes,Rarely,Yes,5-10 hours,Night,Maybe,Balance both equally,"Yes, always"
Below 50%,Yes,11-20,Financial need,Neutral,Yes,Sometimes,No,Below 5 hours,Night,Yes,Balance both equally,"Yes, always"
50-60%,Yes,21-30,Financial need,Comfortable,Yes,Sometimes,Yes,Below 5 hours,Night,Yes,Balance both equally,"Yes, always"
71-80%,Yes,21-30,Financial Independence,Neutral,Yes,Sometimes,Yes,Below 5 hours,Evening,Yes,Balance both equally,"Yes, always"
50-60%,Yes,21-30,Financial need,Neutral,Yes,Sometimes,Yes,5-10 hours,Night,Maybe,Balance both equally,Occasionally
Above 80%,No,11-20,Financial need,Neutral,Yes,Sometimes,Yes,5-10 hours,Morning,Yes,Studies first,Occasionally
71-80%,Yes,1-10,Financial Independence,Neutral,Yes,Sometimes,Yes,11-20 hours,Night,No,Balance both equally,Occasionally
71-80%,Yes,11-20,Financial need,Neutral,Yes,Sometimes,Yes,5-10 hours,Night,Yes,Balance both equally,Occasionally
71-80%,Yes,11-20,Financial need,Comfortable,Yes,Sometimes,Yes,5-10 hours,Morning,No,Balance both equally,Occasionally
50-60%,Yes,Over 30,Financial Independence,Comfortable,Yes,Rarely,No,Below 5 hours,Night,Maybe,Balance both equally,"Yes, always"
Above 80%,Yes,11-20,Financial Independence,Neutral,Yes,Sometimes,Yes,5-10 hours,Night,No,Balance both equally,Occasionally
50-60%,Yes,11-20,Financial need,Comfortable,Yes,Sometimes,Yes,5-10 hours,Morning,Maybe,Balance both equally,Occasionally
50-60%,Yes,11-20,Financial need,Neutral,Sometimes,Always,Yes,Below 5 hours,Evening,Yes,Balance both equally,"Yes, always"
71-80%,Yes,11-20,Financial need,Comfortable,Yes,Sometimes,Yes,5-10 hours,Morning,Maybe,Studies first,Occasionally
71-80%,Yes,1-10,Financial need,Comfortable,Yes,Sometimes,Yes,5-10 hours,Morning,Maybe,Studies first,Occasionally
71-80%,Yes,21-30,Financial need,Comfortable,Yes,Rarely,Yes,Below 5 hours,Night,Maybe,Balance both equally,"Yes, always"
71-80%,Yes,11-20,Financial need,Neutral,Yes,Sometimes,Yes,11-20 hours,Night,Maybe,Balance both equally,Occasionally
50-60%,Yes,1-10,Professional experience,Neutral,Sometimes,Sometimes,Yes,5-10 hours,Evening,No,Studies first,Occasionally
Below 50%,Yes,11-20,Financial Independence,Neutral,Yes,Never,Yes,5-10 hours,Night,No,Studies first,Never
50-60%,No,11-20,Financial need,Neutral,Sometimes,Sometimes,Yes,11-20 hours,Night,Yes,Work first,Occasionally
Above 80%,No,11-20,Financial Independence,Comfortable,Yes,Sometimes,Yes,Above 20 hours,Night,Yes,Work first,Rarely
50-60%,Yes,11-20,Financial Independence,Neutral,Yes,Sometimes,Yes,Below 5 hours,Morning,Yes,Work first,Rarely
71-80%,Yes,21-30,Financial need,Streeful,Sometimes,Sometimes,Yes,Below 5 hours,Night,Yes,Work first,"Yes, always"
71-80%,Yes,21-30,Financial need,Streeful,Yes,Sometimes,Yes,Below 5 hours,Night,No,Balance both equally,"Yes, always"
Below 50%,Yes,Over 30,Financial need,Comfortable,Yes,Never,Yes,Below 5 hours,Night,Maybe,Work first,"Yes, always"
50-60%,Yes,11-20,Financial Independence,Neutral,Yes,Sometimes,Yes,Below 5 hours,Night,Maybe,Balance both equally,Occasionally
50-60%,Yes,11-20,Financial Independence,Comfortable,Yes,Rarely,Yes,5-10 hours,Morning,Maybe,Balance both equally,Occasionally
71-80%,Yes,21-30,Financial need,Streeful,Sometimes,Always,No,Below 5 hours,Night,Yes,Balance both equally,"Yes, always"
